Title,Genre,Summary,Rating,Keywords
The Shawshank Redemption,Drama,A man imprisoned for a crime he didn't commit finds hope through friendship.,9.3,"inspiring, hopeful, friendship"
Inception,Sci-Fi,A thief who steals corporate secrets through dreams takes on one last mission.,8.8,"mind-bending, thrilling, adventurous"
The Lion King,Animation,A young lion prince flees his kingdom before returning to reclaim his throne.,8.5,"nostalgic, heartwarming, family"
Interstellar,Sci-Fi,Explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,8.6,"adventurous, emotional, epic"
Forrest Gump,Drama,"The life story of Forrest Gump, a man with a kind heart and simple mind.",8.8,"nostalgic, emotional, inspiring"
The Dark Knight,Action,"Batman faces off against the Joker, a criminal mastermind causing chaos in Gotham.",9.0,"thrilling, dark, heroic"
Coco,Animation,A young boy discovers his family's history in the Land of the Dead.,8.4,"nostalgic, family, emotional"
The Avengers,Action,Earth's mightiest heroes must come together to stop an alien invasion.,8.0,"action-packed, heroic, adventurous"
Inside Out,Animation,A young girl navigates life’s challenges with the help of her emotions.,8.1,"emotional, family, uplifting"
The Pursuit of Happyness,Drama,A struggling salesman takes custody of his son and works for a better future.,8.0,"inspiring, emotional, hopeful"
Guardians of the Galaxy,Sci-Fi,A group of intergalactic criminals must save the galaxy.,8.0,"fun, adventurous, action-packed"
Titanic,Romance,A young couple falls in love aboard the ill-fated Titanic.,7.9,"romantic, emotional, nostalgic"
Finding Nemo,Animation,A clownfish searches for his missing son across the ocean.,8.1,"family, adventurous, heartwarming"
Joker,Drama,A man struggling with mental illness transforms into the Joker.,8.4,"dark, emotional, intense"
Up,Animation,An old man and a young boy embark on an adventure with a flying house.,8.3,"heartwarming, adventurous, emotional"
The Matrix,Sci-Fi,A hacker learns the truth about reality and fights against a machine-controlled world.,8.7,"mind-bending, thrilling, action-packed"
La La Land,Musical,An aspiring actress and a jazz musician pursue their dreams in Los Angeles.,8.0,"romantic, inspiring, emotional"
Avengers: Endgame,Action,The Avengers assemble for one last stand against Thanos.,8.4,"epic, emotional, heroic"
Soul,Animation,A musician discovers the true meaning of life after a near-death experience.,8.1,"inspiring, uplifting, emotional"
Gladiator,Action,A Roman general seeks revenge after betrayal and tragedy.,8.5,"intense, heroic, emotional"
